tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
candidate,2460009.046,3.9919157,2.938,535,9.6854,130.409,5645,4.32,1.14
candidate,2460000.059,9.4453763,2.659,863,9.9139,64.4886,4853,4.69,0.66
candidate,2459989.989,3.1660849,2.6922287,5175.032069,10.9095,308.013,6225,4.33,1.3377
candidate,2458381.883,5.5765364,2.3140477,642.4206976,10.5041,283.856,6002.18,4.12354,1.52031
candidate,2460024.287,8.4035706,3.906,490,9.0397,99.5473,5910,4.42,1.05
non-candidate,2459302.16,5.5553784,2.256,1050,10.7217,940.002,8058,3.57,3.79
non-candidate,2459302.066,3.0750728,2.219,510,9.6913,241.582,6888,4.25,1.52
candidate,2459965.213,4.5654898,2.3029332,8572.202413,12.4783,854.236,9162,4.51,1.39742
candidate,2459964.944,5.479335,4.7009896,9196.343796,11.1664,427.312,6332.7,4.2,1.5307699
candidate,2459220.938,3.4044402,1.895,7190,13.2181,1028.76,6097,4.01,1.75
non-candidate,2459964.261,3.059168,4.992,7610,13.2864,494.985,5657,4.37,1.08
candidate,2459247.299,6.2804387,3.263,10240,12.1234,331.16,5900,4.48,0.98
candidate,2459245.632,4.0397189,3.655,15110,11.3944,312.674,5758.5,4.27,1.14
candidate,2460236.733,4.3905983,2.3792658,8720.930411,11.6805,655.523,5796,4.12,1.96701
candidate,2460129.286,56.0045056,10.4337079,767.9192527,8.9387,139.611,6321,4.22436,1.41189
non-candidate,2459044.826,31.32312,1.541,385,8.9387,139.611,6321,4.22436,1.41
candidate,2458355.649,84.2607645,10.925059,440.1660616,8.9387,139.611,6321,4.22436,1.41189
candidate,2460176.096,22.8909855,2.465657,253.4100012,8.9387,139.611,6321,4.22436,1.41189
candidate,2459970.527,13.3454771,3.135485,24630.38571,13.2795,374.417,5448,4.7,0.720183
candidate,2459251.944,0.2856701,0.297,1990,12.9152,907.894,5606,3.81,2.04
candidate,2459248.445,2.8798613,4.111,4820,12.8504,898.797,6086,4.04,1.69
candidate,2459244.237,4.7962078,3.328,21130,12.1195,1106.49,8083.5,4.33,1.23434
candidate,2459963.598,2.2087864,4.045,4710,13.0931,732.634,5827,4.23,1.3
candidate,2459245.076,5.9492615,4.304,7490,13.0215,747.884,6041,4.22,1.36
candidate,2459224.572,1.9275568,2.621,39070,12.8565,936.741,9168,4.33,1.23434
candidate,2459572.2,5.3393042,2.965,2610,11.1865,382.261,5857.2,3.94,1.49
non-candidate,2459990.606,4.6141256,1.566,4920,12.9858,844.26,6888,4.37,1.33
non-candidate,2459963.683,1.1468708,1.3965477,2762.627598,11.6079,721.776,6755,4,1.99145
candidate,2460165.693,17.6174652,3.615,722,9.6768,82.7013,5250,4.64176,0.81
candidate,2459251.243,4.2555436,5.058,2410,11.8365,566.013,6053.1,4.17,1.68
candidate,2459251.166,2.6926692,3.101,4150,12.0778,1402.73,9669,4.18,2.11
candidate,2459251.838,2.6889686,2.677,10930,12.9674,838.737,6685,4.4,1.25
candidate,2459967.203,4.3897272,3.234,6550,13.0718,448.289,5800.55,4.33,1.23434
candidate,2459964.103,1.8947564,2.1094288,4246.85739,13.0718,448.289,5800.55,4.33,1
candidate,2459245.467,4.6391531,3.239,14100,11.288,317.232,5928.2,4.56,1.15
non-candidate,2459252.309,2.9646096,2.232,27860,13.1057,404.202,5306,4.51,0.88
candidate,2459251.668,3.2379325,3.112,8340,11.4675,388.876,6434.3,4.46,1.19
candidate,2459963.651,0.8602467,1.5314093,14559.4591,13.5012,365.008,4841.5,4.33,1.23434
non-candidate,2459223.265,5.4521068,4.702,8170,12.9,821.496,5878,4.03,1.64
non-candidate,2459252.299,0.879268,1.529,4550,12.9604,888.752,6259,4.06,1.7
non-candidate,2460206.239,1.3090665,2.844,209,9.2927,52.1472,4779.8,4.57,0.78
candidate,2459212.236,1.532427,2.351,29020,12.9159,609.523,5957,4.39,1.11
candidate,2459964.5,2.1663502,4.258,5930,12.6313,1246.64,9394,4.25,1.92
candidate,2459225.45,3.5514016,2.207,8480,12.0327,460.995,6019,4.29,1.26
candidate,2459224.598,1.8882882,2.714,18080,13.4949,960.345,6436,4.34,1.27
candidate,2459574.316,3.5524144,2.784,2060,11.5829,705.803,6843,4.33,1.82
non-candidate,2459223.653,3.145502,2.411,6190,13.2863,1558.37,6397,3.83,2.29
candidate,2459248.643,2.6792695,2.56,10530,13.3693,1083.88,6718,4.34,1.34
candidate,2459250.188,2.648845,2.131,16770,12.2224,259.399,5329,4.52,0.87
non-candidate,2459964.898,3.0244222,5.3680787,267015.5225,11.422,573.391,6758,4.19,1.23434
candidate,2459208.275,2.9510628,3.404,9480,13.2877,982.982,6370,4.26,1.39
candidate,2458361.664,32.332528,3.459632,2425.505189,12.1677,115.801,3891,4.64044,0.615038
candidate,2459222.135,6.6329154,0.598,3190,10.7599,106.964,4608,4.35,0.88
candidate,2459247.745,4.8257226,4.145,7650,13.0923,926.193,7141,4.2,1.66
candidate,2459253.167,0.400777,0.886,2000,13.3947,1232.83,5635,3.81,2.07
candidate,2459966.277,3.2923881,1.427,26840,13.4546,808.212,6300,4.35,1.24
candidate,2459227.231,0.9008643,1.419,2530,12.5461,1961.51,9267,4.03,2.46
non-candidate,2459246.6,3.4906402,1.586,4580,12.7325,626.536,6066,4.34,1.18
non-candidate,2459226.231,0.599092,1.232,1290,12.6989,1238.08,5220,4.33,3.19
candidate,2459962.906,0.6216031,1.1570716,2344.624976,12.4644,802.97,8038,4.37,1.50848
candidate,2459225.08,2.4181961,1.814,4150,13.3606,365.008,5118.6,4.33,1.23434
candidate,2459253.079,3.9589903,3.5,13190,12.9395,1047.94,6551,4.1,1.73
candidate,2460186.649,4.5117221,1.785,313,9.1059,59.2293,5245,4.57666,0.79
candidate,2460155.028,39.361947,4.535,552,9.1059,59.2293,5245,4.57666,0.79
candidate,2459245.825,4.1849602,2.233,27260,13.4746,1267.82,5722.4,4.33,1.23434
candidate,2459967.674,6.6269971,3.9371246,5104.958877,13.0316,819.583,5940,4.13,1.48946
candidate,2459243.086,11.4874782,4.063,16360,13.0436,707.53,5958,4.3,1.22
non-candidate,2459253.364,1.1894812,3.047,4130,12.7797,890.314,6550,4.21,1.5
candidate,2459963.053,0.4777885,1.039,2690,12.818,748.5,5286.9,4.33,1.23434
candidate,2459226.716,0.451685,0.262,1660,12.685,598.315,6353,4.46,1.1
candidate,2459251.03,1.5728416,1.947,21020,13.2495,456.797,5288,4.52,0.87
candidate,2459965.828,5.6392638,4.436,7320,13.4861,1086.1,5904,4.03,1.65
candidate,2459222.278,9.3803217,4.508,8600,12.9702,680.951,5817,4.25,1.27
candidate,2459249.109,1.7198076,1.861,10890,12.9451,2887.19,8531,4.33,1.23434
candidate,2459089.656,3.7815683,2.0137346,15002.16596,12.3611,486.856,5807,4.32,1.17009
candidate,2459577.91,5.7655904,1.757,7910,12.5266,423.114,5409,4.33,2
non-candidate,2459253.169,0.4057204,1.201,2620,13.0777,879.564,6541,4.33,1.32
non-candidate,2459963.999,5.2201338,2.584,6040,12.8919,1142.16,11632,4.35,1.95
candidate,2459252.914,1.252025,0.816,8690,12.6587,269.192,5000,4.33,1.23434
non-candidate,2459963.592,3.3004862,2.959105,2403.570604,11.3002,398.13,6408,4.26,1.30784
candidate,2459245.62,3.4142143,4.212,3400,12.5365,1833.11,8573,3.9,2.72
candidate,2459248.364,6.2996307,1.918,9530,11.7038,225.744,5137,4.45,0.92
candidate,2459248.4,3.4074188,3.111,18130,13.0814,805.159,6237,4.33,1.24
non-candidate,2459226.726,2.0849517,3.099,2380,12.6063,474.693,6163,4.56,0.94
non-candidate,2459964.826,2.3252878,2.277571,29370.95462,13.3181,602.935,5744,4.33,1.1
candidate,2458364.462,711.7473963,6.7075614,1566.154112,8.97174,215.387,6530,3.96,2.02087
candidate,2459988.872,4.7799716,4.976,5250,13.2873,1251.5,6605,4.07,1.79
candidate,2459225.477,2.9301843,4.218,6280,13.2222,1059.52,6032,4.05,1.65
candidate,2459224.056,2.0083269,4.37,1680,13.1101,855.978,6656,4.37,1.28
candidate,2459249.371,3.7064049,2.056,4710,12.3661,696.926,6016,4.33,1.23434
candidate,2459226.631,2.935886,2.93,5900,13.4518,1150.7,5896,3.97,1.77
candidate,2459241.058,6.3350651,2.37,4160,11.7507,1301.56,9608,4.11,2.28
candidate,2459251.74,1.6020002,2.625,21520,11.7858,413.673,6141,4.33,1.22
candidate,2459966.388,4.9182798,3.7931445,20620.24443,13.3009,781.709,7185,4.52,1.1499
candidate,2459966.507,4.218652,1.7861148,9198.260437,11.1893,1658.85,9307,4.33,1.23434
candidate,2459325.239,3.6579148,4.33,32300,12.973,937.591,5765,4.33,1.23434
candidate,2458326.646,4.0887217,6.463,5520,11.4483,454.65,5728,3.99,1.69
candidate,2459299.68,3.1958886,1.548,10760,12.6223,776.868,6496.3,4.33,1.39
candidate,2460015.955,17.3076615,4.843,8880,11.7498,627.007,6693,4.07,1.81
candidate,2460045.077,14.9502738,4.464,8070,13.3763,374.866,5068,4.58,0.79
candidate,2459295.961,10.3629429,3.168,5880,13.296,518.198,5467,4.45,0.96
candidate,2459265.56,7.4190257,2.472,11610,13.0815,617.411,6004,4.47,1.02
candidate,2459275.536,8.7858955,5.908,3910,13.3064,1274.13,6749,4.17,1.63
candidate,2460042.381,1.3475728,1.589,2570,12.8047,1362.17,5434,4.33,3.36
candidate,2459310.43,12.0040505,3.95,6890,13.3406,583.358,5777,4.47,0.98
candidate,2459990.915,3.6128161,3.7292938,9701.737977,13.4268,1441.09,7186,4.18,1.71382
candidate,2459386.403,4.0874138,2.061,7470,13.0077,983.354,5881,3.94,1.83
non-candidate,2459097.435,21.05271,4.91,21440,12.9528,933.836,5736,3.97,1.73
candidate,2459303.692,1.317173,2.581,14130,13.4609,1036.78,4649.5,4.33,1.23434
candidate,2459303.995,4.6086828,4.283,13990,11.9357,808.284,8097,4.26,1.72
non-candidate,2460042.8,2.9918201,2.231,3410,12.7858,363.632,5301,4.5,0.89
candidate,2459964.22,3.5947639,1.81,3070,12.7318,381.002,5594,4.5,0.93
candidate,2459292.343,7.5010022,3.977,2550,12.5519,519.895,5673,4.21,1.31
candidate,2459998.015,11.8790678,3.716,8580,12.41,804.13,5163.2,4.33,1.23434
candidate,2459277.553,3.7062792,3.008,13910,12.7318,591.529,6524,4.49,1.09
candidate,2459274.761,3.168632,2.329,2830,12.3447,931.375,6020,4.33,1.23434
candidate,2459275.143,5.4631023,4.067,3070,12.6467,554.906,6788,4.55,1.06
candidate,2459275.207,3.0688259,3.95,3010,11.3289,365.008,7776.7,4.33,1.64
non-candidate,2459109.092,12.08837,3.106,5990,12.3035,551.16,5920,4.22,1.34
candidate,2459965.451,3.3080662,4.0947447,11855.60667,13.3395,842.929,4989.6,4.33,1.23434
candidate,2459963.858,1.7701321,1.6631328,49803.40824,13.381,365.008,4430.1,4.33,0.77
candidate,2460019.66,8.7614828,3.301,4200,11.3838,557.087,6614,4.05,1.83
candidate,2459304.456,7.0317936,2.962,19070,13.3564,265.527,4269,4.48,0.78
candidate,2459964.763,3.0515894,3.2635858,5835.564367,13.21,1245.8,7902,4.14,1.94295
candidate,2459297.972,5.1304425,2.399,7670,12.5254,455.243,5003.8,4.33,1.23434
candidate,2459303.129,3.9216762,2.075,17400,13.108,588.385,6706,4.63,0.96
candidate,2459294.12,7.9018734,3.18,16220,13.0699,785.617,4976,4.33,1.23434
candidate,2459288.041,9.5680636,3.982,9400,13.2889,632.543,6511,4.57,0.99
candidate,2459298.68,4.6957057,2.633,13800,12.5917,332.108,5475,4.53,0.89
candidate,2459088.963,10.3688702,2.4885919,15543.59491,13.2806,295.784,4463,4.49,0.789514
candidate,2459300.973,3.2003149,2.847,16320,12.8212,728.811,6060,4.2,1.4
candidate,2459331.506,3.0044799,3.19,11000,12.8854,706.87,6302,4.34,1.25
candidate,2459303.737,1.3605223,0.715,1440,11.7768,366.67,5924,4.35,1.15
candidate,2460015.623,4.3226285,2.908,9090,12.8521,668.938,6153,4.31,1.25
candidate,2459966.861,7.3498345,4.0296279,5726.632942,12.1466,552.876,6571,4.31,1.34715
candidate,2459302.564,1.5720089,1.257,2730,11.49,504.705,7164,4.28,1.51
candidate,2459303.198,2.4249041,4.225,5630,13.1845,1301.83,6632,4.01,1.92
candidate,2459304.991,1.3868302,2.413,14190,13.3754,890.006,7019,4.46,1.22
candidate,2459302.165,2.8457134,3.189,7050,12.9639,754.398,6910,4.39,1.3
candidate,2459302.035,2.0391352,2.1,19130,13.2135,464.854,5773,4.55,0.89
candidate,2459109.911,0.8054361,1.06,2980,11.024,336.367,5905,4.13,1.4
candidate,2459297.414,7.2041454,3.527,1970,11.6526,768.578,7176,3.91,2.34
candidate,2459996.685,8.6681997,5.864,3880,12.1511,663.064,6133,4.01,1.77
candidate,2459990.683,3.2569118,3.689,5960,12.6396,1052.16,7320,4.01,2.1
non-candidate,2459989.636,1.6363822,5.2796046,2383.869039,12.5246,762.471,6361,4.09,1.6787
candidate,2459278.684,1.1239749,1.011,2190,12.8016,466.664,6220,4.56,0.95
candidate,2459278.943,5.5698287,2.234,11620,13.4581,733.784,5751.6,4.28,1.22
non-candidate,2459988.48,1.3328042,2.75,1960,12.5961,923.797,6561,4.12,1.67
candidate,2459990.423,2.0139493,1.554,5820,13.4212,954.421,6074,4.11,1.56
candidate,2459272.924,4.942456,2.504,16530,11.4932,234.45,5516,4.49,0.92
candidate,2459273.923,4.8306667,4.24,9790,12.6819,841.049,6567,4.26,1.44
candidate,2459457.974,7.327945,2.896,13710,11.3875,127.589,4521,4.5,0.79
candidate,2459301.079,4.5991516,3.113,23020,13.487,1080.4,5262.9,4.33,1.23434
candidate,2459988.563,0.7127815,1.154,26500,12.6858,483.964,5625.4,4.33,0.98
candidate,2459303.834,3.525723,4.582,4730,12.9356,1025.86,6442,4.02,1.85
candidate,2459279.092,0.7123317,0.752,13070,13.2005,383.85,4728,4.34,0.98
candidate,2459967.139,7.7925448,2.902988,16339.53479,13.3106,927.97,6307,4.21,1.44678
candidate,2459299.33,3.2006677,4.195,5500,12.9512,1152.65,7438,4.03,2.09
candidate,2459331.564,4.9186433,1.849,19840,12.3977,171.017,4394,4.56,0.72
non-candidate,2459332.081,2.0391741,0.849,5740,12.5964,440.02,5371.5,4.33,1.23434
candidate,2460042.541,2.7557652,1.889,14830,13.175,1335.32,5800.55,4.33,1.18
candidate,2459359.146,2.8652288,1.785,14320,13.2338,645.262,5945,4.42,1.06
candidate,2459090.144,3.3969441,2.4148687,10192.13116,12.141,488.387,5864,4.26,1.27071
candidate,2459358.148,3.2690486,3.666,6060,12.5781,773.248,6368,4.16,1.55
candidate,2459359.206,3.029136,2.829,18490,13.417,365.008,5800.55,4.33,1.23434
candidate,2459351.668,10.7844934,2.021,13750,12.6359,88.6944,3558,4.73,0.51
candidate,2460042.143,1.2926975,2.592,6460,12.4794,1205.9,5800.55,4.33,1.23434
candidate,2459323.568,4.8401948,3.546,26550,12.3743,1968.35,12745,4.33,1.23434
candidate,2459331.664,0.5542332,1.366,4400,13.0882,1516.96,7366,3.89,2.43
candidate,2459332.121,4.127728,1.411,14790,12.445,362.235,5820,4.55,0.9
candidate,2460014.57,1.5314941,2.4818244,19629.00853,13.5248,888.14,6650,4.38,1.27101
non-candidate,2460014.553,1.9905105,2.62,2270,10.6758,206.3,6211,4.46,1.07
non-candidate,2458593.753,1.3550447,1.945,3710,12.3935,1001.96,14466,4.33,1.23434
candidate,2459062.764,25.2580075,3.7100519,8447.170296,13.1066,471.798,5290,4.45,0.946086
candidate,2459332.141,2.0916623,3.274,5500,13.0013,1421.21,6600,3.83,2.36
candidate,2459325.992,4.6259138,2.91,10220,12.2985,763.001,7388,4.34,1.44
candidate,2459326.445,4.0211797,4.198,3500,12.131,755.197,4881,4.33,2.79
non-candidate,2459991.661,4.4433921,3.414,6480,12.5449,654.773,7664,4.51,1.23
candidate,2459329.67,3.8331282,2.906,10410,12.484,644.948,8408,4.57,1.24
candidate,2459324.019,4.2672965,3.108,9340,12.5853,920.771,6548,4.06,1.79
candidate,2459304.992,1.5252473,2.343,1730,12.4016,852.718,5698,3.67,2.44
non-candidate,2459301.7,3.2517862,4.373,18310,13.0742,512.984,5824,4.53,0.92
candidate,2459304.351,0.7327757,1.306,4490,13.397,825.971,5195.1,4.33,1.23434
candidate,2459303.3,1.8237148,1.322,22920,11.9361,163.996,4581,4.51,0.78
candidate,2459093.605,5.6748327,1.783,8390.203822,13.1099,461.513,4871,4.26,1.09429
candidate,2459299.828,4.420983,4.083,3980,11.406,390.3626,5800.55,4.33,1.23434
candidate,2459301.075,4.8405428,2.139,7030,13.0634,622.713,5875,4.4,1.08
candidate,2458563.518,2.8371201,2.102,11560,13.562,724.88,5301,4.24,1.2
candidate,2458563.639,2.7519326,2.411,10200,13.113,508.705,5800.55,4.33,1.23434
candidate,2458567.862,0.689421,1.233,3580,13.0812,1241.9,5270,4.33,2.6
candidate,2459304.548,0.426988,0.406,7230,13.1221,481.558,5333.5,4.43,0.96
candidate,2459300.514,3.4859402,1.532,11410,13.2277,750.393,5941,4.33,1.18
candidate,2459331.528,2.3505698,2.768,11210,11.9383,365.008,5356,4.33,1.22
candidate,2459275.541,4.3497551,3.704,1710,11.6687,547.599,5667.3,4.35,1.88
candidate,2459993.758,5.4913314,5.3710583,34135.07176,13.5214,1322.42,6364,4.33,1.23434
candidate,2459062.562,1.3287182,1.7017624,9179.507419,12.7602,957.936,6273,4.08,1.67606
candidate,2459302.236,3.5910692,2.891,29100,13.4767,729.185,5736,4.38,1.09
candidate,2459302.719,3.6015056,3.024,13630,12.7533,527.789,6055,4.46,1.03
candidate,2459296.191,4.8701613,2.623,12330,13.4964,314.561,5268,4.92,0.55
candidate,2458567.832,3.4287311,2.3,34250,13.5714,530.686,5231,4.47,0.91
candidate,2459303.21,9.162268,2.067,20340,11.9316,187.506,4935.8,4.59,0.75
candidate,2458563.069,3.8996784,4.668,3420,12.9575,1262.02,6382,3.94,2.01
candidate,2459301.58,3.2783445,3.657,3140,12.0682,563.149,5940.7,4.13,1.49
non-candidate,2459963.202,1.6709011,2.2820392,1210.557475,10.8521,327.463,7051,4.42,1.2684
candidate,2459303.174,1.8865581,1.699,3150,12.426,441.41,5564.2,4.33,1.36
candidate,2459302.225,3.1228396,2.18,28060,12.7103,195.795,4262,4.49,0.77
candidate,2459092.787,5.7217124,3.7733987,5455.585609,12.3012,447.784,5541,4.28,1.19313
candidate,2459298.339,7.4659746,2.396,3570,12.023,763.643,6439,3.97,1.95
candidate,2459304.8,5.5809252,2.545,10780,12.7171,213.888,4455,4.53,0.76
candidate,2459305.045,3.00782,3.503,6510,11.9728,542.026,5999.1,4.11,1.54
candidate,2458564.22,2.3378096,2.307,6880,13.5586,608.631,5800.55,4.33,1.23434
candidate,2459303.302,4.0257967,1.945,7390,12.148,3222.05,9045,4.33,1.23434
candidate,2460015.454,1.6566182,2.847,12290,12.796,779.544,6504,4.28,1.38
candidate,2459300.796,2.3627442,3.095,1870,11.6828,354.772,5939,4.32,1.18
candidate,2459989.324,2.2060441,4.1301608,7122.103221,12.3898,884.499,6313,3.89,2.0898499
candidate,2459303.241,1.5297119,2.297,2410,12.5382,1019.27,6683,3.96,2.05
non-candidate,2459302.434,5.1627718,3.139,19050,12.9093,645.965,6749,4.53,1.08
non-candidate,2458354.43,2.75753,1.376,1071.45,10.8387,397.391,5776.5,2.99,1.94
candidate,2459296.646,5.20807,3.249,29630,12.7959,468.285,5836.5,4.51,0.94
non-candidate,2459302.297,2.090218,3.329,8180,13.0698,1142.68,6328,4.33,2.08
candidate,2459303.578,7.7971071,1.873,23150,13.2952,365.008,4978,4.33,1.47
candidate,2460015.392,1.6224281,2.013,1250,11.9236,703.242,7517,4.08,1.98
non-candidate,2459303.81,3.2891219,2.948,8100,12.4564,668.659,6947,4.19,1.64
non-candidate,2459329.677,2.0958074,2.992,2350,12.3487,768.845,6793,4.2,1.6
candidate,2459989.198,8.61346,2.349,12840,11.9644,561.854,6595,4.17,1.6
candidate,2459331.091,4.2768515,4.586,5000,13.1623,888.503,5691,3.96,1.73
non-candidate,2459328.098,3.9678136,4.238,760,11.2123,263.513,6138,4.48,1.03
candidate,2459332.075,3.365343,3.352,7700,12.9119,1705.62,9582,4.3,1.83
candidate,2459090.755,3.7440143,2.9949786,1773.584495,12.0684,667.745,6048,4.03,1.7045799
candidate,2459318.201,9.5537684,3.414,18260,11.9656,421.094,5816,4.25,1.27
candidate,2459329.346,1.8418712,1.633,10500,13.2464,1011.72,5952,4.33,1.23434
candidate,2459991.46,3.0920297,4.0267639,63491.94909,13.7563,1423.27,5804,4.33,1.23434
candidate,2459322.276,5.4722557,6.366,1800,12.7007,1173.06,5847,3.57,2.8
candidate,2459330.934,1.7946783,3.306,2860,13.2576,1023.59,6351,4.09,1.68
candidate,2460015.034,4.2745762,4.288,3620,13.2438,1146.27,6375,4.04,1.79
candidate,2459325.929,5.1139634,2.24,7090,13.1847,930.905,6451,4.21,1.49
candidate,2459300.7,3.052529,3.333,14090,12.5422,718.959,6802,4.32,1.38
non-candidate,2459323.34,6.5832019,3.135,5280,12.7818,461.758,5809,4.48,0.97
candidate,2459329.13,5.9594909,2.201,15090,13.4834,676.133,5950,4.47,1
candidate,2458356.682,6.70145,1.579,10940,12.9317,195.124,4130,4.51,0.74
candidate,2459332.146,3.0327366,2.548,12000,13.4366,1498.36,7124,4.13,1.79
candidate,2459998.898,11.2645152,5.778,10110,13.5566,365.008,5869.8,4.33,1.23434
candidate,2459375.196,8.990904,1.78,6500,11.7834,282.631,5354,4.35,1.07
candidate,2459359.903,3.9014904,4.83,9050,11.4848,389.916,5512,3.97,1.69
candidate,2460042.964,2.5071775,3.0618698,14812.15734,13.5618,777.224,5996,4.35,1.1625
candidate,2460044.693,3.6794732,4.13,6360,13.4826,888.822,5823,4.15,1.42
candidate,2459323.785,4.8206566,4.468,17740,12.8527,585.662,6002,4.38,1.13
candidate,2459384.399,3.3794034,3.332,3610,12.2231,652.69,6072,4.04,1.67
candidate,2459359.564,3.0525705,4.811,8760,13.1106,365.008,4817.8,4.33,1.23434
candidate,2460014.568,2.0252285,5.2098256,2725.421298,10.8257,11925.2,3600.5,4.33,1.23434
candidate,2459468.533,3.5608112,3.389,4890,12.0213,486.474,5659,4.1,1.47
candidate,2459360.048,2.1510781,2.355,16930,12.804,1107.81,5769,4.33,1.23434
candidate,2459330.952,3.9935853,2.846,19930,12.4404,353.147,5709,4.5,0.94
candidate,2458622.183,3.4677103,2.234,10000,13.2727,673.183,5645,4.29,1.18
candidate,2458622.814,3.9982381,2.867,53030,13.5836,549.708,5509,4.53,0.88
candidate,2459329.792,1.4032876,2.534,12010,13.2714,730.429,5649.5,4.33,1.23434
candidate,2459353.344,5.2803048,2.752,14540,13.156,606.208,5800.55,4.33,1.23434
non-candidate,2458623.662,0.3859142,1.189,5590,13.4748,786.783,6721,4.55,1.05
candidate,2459328.687,2.1357662,3.272,13310,13.146,1110.66,7428,4.3,1.52
candidate,2460014.516,2.9677851,3.539855,18226.83663,13.5635,1134.31,6185,4.11,1.58557
candidate,2459357.446,3.412893,2.6,15960,12.4816,455.237,5691,4.33,1.13
non-candidate,2458356.286,2.24172,3.989,23700,12.5145,964.641,6292,3.98,1.88
candidate,2459359.719,3.5366051,2.587,12660,12.1787,457.568,6026,4.34,1.19
candidate,2459359.135,2.9599541,3.523,7190,11.2553,484.97,6267.7,4,1.84
candidate,2459356.477,2.7559464,3.255,4130,12.7296,1084.92,6277,4.33,1.23434
candidate,2459357.129,2.3725483,1.543,5010,13.3257,1213.32,6019,3.85,2.08
non-candidate,2459315.913,13.2681095,3.554,2140,11.5088,737.306,6364,3.75,2.48
candidate,2459356.118,2.3304358,3.528,9320,11.8172,835.785,7763,4.21,1.77
candidate,2459357.033,4.1343989,3.051,18320,13.1849,803.709,6320,4.27,1.35
candidate,2459355.468,2.7020875,3.116,10040,13.1043,1270.07,7798,4.31,1.57
candidate,2459358.75,5.7672677,4.173,29540,12.3662,4849.87,5800.55,4.33,1.23434
non-candidate,2459359.447,1.3168344,0.733,3640,12.4092,459.056,5211.7,4.33,1.23434
candidate,2458364.101,9.94915,3.968,22920,12.3294,689.883,5852,4.03,1.65
candidate,2459991.651,5.939725,1.481,6600,12.7985,690.712,5568,4.05,1.55
candidate,2459327.161,2.9489639,2.278,2730,12.077,851.976,6506,3.9,2.15
candidate,2459330.915,2.3097953,3.185,4000,12.5285,1049.05,7300,4.05,2.01
candidate,2459358.508,2.9919962,2.614,17170,12.4041,337.627,5247,4.39,1.01
candidate,2459330.03,2.8281656,3.15,22180,12.8798,718.133,6412.2,4.33,1.16
candidate,2458621.989,1.3071566,1.108,3100,12.3858,405.819,5958,4.51,0.96
candidate,2459357.557,1.8092906,1.983,15830,13.2765,1181.19,6905,4.12,1.77
candidate,2459332.097,0.58007,1.338,16320,13.4444,1034.65,6875,4.37,1.33
candidate,2460042.046,2.3483946,2.375,2930,12.5068,810.583,6155,3.98,1.82
non-candidate,2460015.013,1.3934565,2.809,2530,11.2012,365.008,3301,4.33,1.23434
candidate,2459089.501,4.6027498,4.2702334,7456.703776,11.7607,436.098,5909,4.21,1.3408999
non-candidate,2460014.804,0.5465391,1.6114979,3122.158429,13.5552,1298.66,6091,4.05,1.66057
candidate,2460015.417,1.3185787,1.748,5930,13.4909,2578.83,6040,4.33,1.23434
candidate,2460015.137,4.865928,5.323532,10758.38268,13.5173,774.109,6137,4.34,1.21215
candidate,2460014.402,1.9512921,4.7888548,6702.526744,12.5954,1411.83,5800.55,4.33,1.23434
candidate,2460067.258,0.6771668,1.4,1095,10.4321,5724.18,3194,4.33,1.23434
candidate,2459330.554,1.6995805,2.305,6740,13.3906,1000.8,9626,4.56,1.35
candidate,2459310.392,12.2027867,2.428,7070,11.5622,337.489,6454,4.45,1.13
candidate,2459317.659,7.4365725,2.774,5020,11.686,1269.3,9230,4.09,2.29
candidate,2459331.452,1.5959199,1.539,20720,12.7752,1180.26,6809.2,4.33,1.23434
candidate,2459303.647,3.8277062,0.899,3610,11.4573,367.188,6610,4.44,1.18
candidate,2459091.687,6.1668344,2.2619245,13145.61213,13.1198,738.175,5747,4.24,1.2815599
candidate,2459332.07,0.6587178,1.576,7010,13.3727,1689.05,6520,3.8,2.41
candidate,2459331.967,1.2669382,1.93,2580,11.8706,485.219,6296,4.26,1.36
candidate,2459329.822,2.9828061,4.28,7320,13.2671,1213.37,6879,4.09,1.81
candidate,2459328.306,3.1420872,1.884,13090,13.0695,511.362,5417.4,4.37,1.05
candidate,2459327.92,5.3583725,4.916,5000,13.325,481.009,5800.55,4.33,1.23434
candidate,2459331.553,1.8030565,2.3,2620,12.9687,871.063,5982,4.01,1.72
candidate,2459331.762,7.8595931,1.902,18530,11.8468,2138.77,14677,4.33,1.23434
candidate,2459325.08,6.3599636,5.479,4400,12.3984,901.32,7689,4.06,2.07
candidate,2460014.89,0.5496848,0.82,2860,12.7683,921.264,7433,4.14,1.84
candidate,2459989.067,1.9892499,3.8785674,20634.29909,13.6374,1508.11,5800.55,4.33,1.23434
candidate,2459108.718,8.3092965,2.201,17010,11.7628,365.008,4801.3,4.33,0.85
candidate,2459331.478,4.5744909,4.534,8890,13.2159,1068.84,6993,4.16,1.7
candidate,2459301.967,3.4365075,3.353,4410,13.263,1196.4,5438,4.33,2.63
candidate,2459332.242,1.9268037,1.4,2260,11.7662,113.048,4249,4.59,0.68
candidate,2459576.126,2.1532179,2.072,6780,13.0723,1007.21,5997,4.03,1.68
candidate,2459300.598,5.1057571,2.616,10840,13.2733,555.622,5495.2,4.41,1.01
