tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
candidate,2460106.338,9.4496506,2.021,19750,9.7825,98.8783,5509,4.39758,0.94
candidate,2460201.639,2.8493825,3.567,8049,10.3157,364.411,6900,4.438,1.77
candidate,2460149.536,2.0685633,0.373,502,9.6652,128.491,5687.9,4.6,1.14
non-candidate,2458654.253,0.540933,1.674337,257.347459,9.7345,133.171,5525,4.25342,1.21935
candidate,2460177.2,4.1150576,1.08,487,9.478,82.1733,5394,4.50942,0.89
candidate,2458629.392,10.0665238,2.4023189,839.9044871,9.0689,61.1201,5552,4.61783,0.791742
candidate,2458656.668,6.4438657,1.9309449,1121.951228,10.0059,68.0726,4803,4.52079,0.737189
candidate,2458664.49,12.2265595,2.1904379,1206.369329,10.0059,68.0726,4803,4.52079,0.737189
candidate,2458654.348,2.160344,1.828854,19357.99299,13.2851,639.004,5780,4.32928,1.2
candidate,2458657.833,4.606184,3.121643,13793.03487,11.9707,353.891,5670,4.3925,1.07
candidate,2458656.988,3.1316735,2.4579197,14915.69437,13.1686,263.609,4351,4.438,0.76701
candidate,2458656.633,3.180362,2.111521,21192.46332,13.2887,535.383,5498,4.47934,0.92
candidate,2460147.379,2.9776446,2.962,13022,10.4293,197.996,5703,4.25824,1.22
candidate,2460176.993,3.9502008,4.444,13914,9.6433,211.211,6153,4.18077,1.71
non-candidate,2458655.579,2.9776152,3.25697,43218.11168,15.7114,365.008,5740,4.29219,1.28
candidate,2458655.394,3.5544026,2.0550535,10164.87534,11.5803,290.198,5639,4.37172,1.11499
non-candidate,2459211.732,12.8379689,9.8464123,10539.01928,11.7106,703.878,5765,4.34773,2.4494
candidate,2459036.473,3.9228016,1.8736007,31510.90049,13.6699,300.67,4444,4.438,0.6983
candidate,2458662.653,13.9428705,3.7522756,1015.395543,10.6339,107.356,5206,4.63095,0.741671
candidate,2458654.25,0.6047392,1.0403847,1027.683348,11.1186,61.4592,4046,4.60963,0.580337
candidate,2458654.163,2.5495611,2.6173308,14921.40219,11.2474,248.46,5659,4.44653,1.03997
candidate,2458654.103,1.6062693,1.9561305,16725.30193,13.461,463.683,5192,4.4617,0.984326
candidate,2458654.103,0.5182425,0.8565249,831.8920424,10.1165,20.373,3325,4.88693,0.390989
candidate,2458656.38,3.1644075,2.0576293,5603.463547,13.1284,1179.27,6519,4.22068,1.7234
candidate,2458328.084,3.0440541,2.5984575,22236.01654,13.163,421.855,5523,4.52192,0.809868
candidate,2458654.061,3.9652485,1.0112593,3680.754444,12.7067,25.559,3296,4.96636,0.199988
candidate,2458654.026,2.98278,3.109528,6136.231662,11.5247,354.05,6027,4.29978,1.23975
candidate,2458626.086,16.3469053,3.5865698,2212.425725,11.8835,100.248,4310,4.57345,0.649613
candidate,2458627.916,12.9802953,2.5034417,2407.260867,12.0936,68.9109,3614,4.81257,0.491323
candidate,2458653.973,1.3484961,2.4074261,18463.76367,12.2851,494.182,6346,4.38484,1.14759
candidate,2460041.175,3.2541181,4.341,13620,11.6577,444.066,6102,4.28649,1.28
candidate,2458655.291,3.7178828,5.5277827,4864.840513,12.2303,736.397,5818,4.33787,2.0840001
non-candidate,2458630.772,9.30992,3.464,2220,9.4142,416.25,6907,3.63,3.09
non-candidate,2458626.39,1.15395,2.236,1550,10.4613,240.901,6093,4.2,1.4
non-candidate,2458643.103,4.73703,3.902,2410,10.3918,778.127,11600,4.13,2.48
candidate,2458326.127,2.76676,2.6872178,14947.43878,13.2366,513.011,5346,4.48823,0.984866
